Keyword,Search Volume,Keyword Difficulty,Position,Traffic,topic,content_type,priority_score,competitor,archive
8cr13mov,1900,7.0,8,13,steel_types,Informational Post,151.55,zhangxiaoquan,0
what is steel made of,6600,25.0,57,0,steel_types,Informational Post,150.86,zhangxiaoquan,0
best knife sets,9900,43.0,54,0,knife_types,List Post,149.43,insight,0
how to throw a knife,1900,15.0,1,28,knife_types,How-to Tutorial,145.92,koi,0
aus 8 steel,1300,9.0,1,42,steel_types,Informational Post,145.74,noblie,0
best pocket knife brands,5400,20.0,45,1,knife_types,List Post,145.44,shieldon,0
tanto knife,5400,20.0,45,0,knife_types,Informational Post,144.0,koi,0
full tang,1600,8.0,1,8,other,Informational Post,144.0,koi,0
how to sharpen kitchen knives,9900,45.0,75,0,maintenance,How-to Tutorial,144.0,insight,0
brisket knife,3600,20.0,5,0,knife_types,Informational Post,144.0,koi,0
types of blades,1300,18.0,1,106,knife_types,List Post,143.46,noblie,0
ballistic knife,6600,27.0,43,0,knife_types,List Post,142.7,shieldon,0
different types of swords,2400,15.0,7,21,knife_types,Comparison,139.39,noblie,0
vg10 steel,1600,12.0,5,56,steel_types,Informational Post,136.15,koi,0
butcher knife set,2900,22.0,2,0,knife_types,Informational Post,135.94,koi,0
lyre bird,5400,50.0,2,0,other,Informational Post,135.0,koi,0
emu bird,9900,49.0,63,0,other,Informational Post,134.24,koi,0
types of knives combat,1600,14.0,2,34,other,List Post,134.0,noblie,0
tang blade,720,0.0,1,24,knife_types,Informational Post,133.92,koi,0
paracord beads,880,0.0,7,26,comparison,Comparison,133.06,noblie,0
knife sharpening angle guide,1300,3.0,4,10,knife_types,Ultimate Guide,132.0,noblie,0
gyuto kniv,5400,23.0,47,0,knife_types,Informational Post,130.91,koi,0
kiritsuke knife,2400,12.0,4,0,knife_types,Informational Post,130.91,koi,0
santoku knives,2900,26.0,5,34,knife_types,Informational Post,129.53,koi,0
how to close a pocket knife,2400,5.0,28,1,knife_types,How-to Tutorial,129.28,noblie,0
what is a switchblade,1900,9.0,8,5,knife_types,Informational Post,126.0,noblie,0
curved dagger,1300,22.0,1,106,knife_types,Informational Post,125.53,noblie,0
wombat australian animals,8100,48.0,21,12,other,Informational Post,125.13,koi,0
types of pocket knives,1300,14.0,1,53,outdoor,List Post,124.31,noblie,0
alaskan ulu knife,1900,10.0,5,9,knife_types,Informational Post,124.26,noblie,0
sharpest knife in the world,1600,9.0,6,20,knife_types,Comparison,121.26,noblie,0
austenitic stainless steel,2900,26.0,2,0,steel_types,Informational Post,120.83,koi,0
wood knife handle,1300,13.0,2,42,knife_types,Informational Post,120.39,noblie,0
154cm steel,1300,13.0,1,42,steel_types,Informational Post,120.39,noblie,0
knife brands,2900,25.0,5,21,knife_types,Informational Post,120.31,noblie,0
knife blade types,1300,15.0,1,53,knife_types,List Post,119.34,noblie,0
barlow knife,3600,22.0,18,5,knife_types,Informational Post,118.12,noblie,0
ballistic knives,2400,11.0,13,3,other,List Post,117.71,noblie,0
d2 steel knife,1300,5.0,8,11,steel_types,Informational Post,115.44,koi,0
8cr13mov,1900,7.0,19,2,steel_types,Informational Post,114.0,shieldon,0
yarborough,4400,44.0,7,16,comparison,Comparison,113.42,noblie,0
why are butterfly knives illegal,2900,11.0,24,2,knife_laws,Informational Post,112.69,noblie,0
kookaburra bird,3600,38.0,2,0,other,Informational Post,112.5,koi,0
edc knives,2900,21.0,4,0,outdoor,Informational Post,112.26,koi,0
why are butterfly knives illegal,2900,11.0,36,0,knife_laws,Informational Post,110.48,shieldon,0
goanna,5400,43.0,15,8,other,Informational Post,110.04,koi,0
types of knife,590,0.0,1,24,knife_types,List Post,109.74,noblie,0
rostfrei,590,0.0,1,24,other,Informational Post,109.74,noblie,0
qama,1000,15.0,1,82,other,Informational Post,109.2,noblie,0
bunka knife,2400,17.0,7,2,knife_types,Informational Post,108.8,koi,0
serrated knife for pumpkin carving,1900,4.0,47,0,knife_types,Comparison,108.57,insight,0
14c28n,1900,4.0,65,0,other,Informational Post,108.57,shieldon,0
n690 steel,880,4.0,1,15,steel_types,Informational Post,108.43,noblie,0
kookabura,3600,40.0,1,0,other,Informational Post,108.0,koi,0
are butterfly knives illegal,2400,13.0,16,3,knife_laws,Informational Post,107.48,noblie,0
m390 steel,2400,8.0,54,0,steel_types,Informational Post,106.67,shieldon,0
trench dagger,2400,36.0,3,36,knife_types,Informational Post,106.43,noblie,0
3cr13 steel,1300,17.0,2,45,steel_types,Informational Post,104.72,zhangxiaoquan,0
glock field knife,3600,33.0,6,4,knife_types,Informational Post,104.48,noblie,0
good japanese knives,1300,0.0,47,0,other,Informational Post,104.0,noblie,0
neck knives,2400,9.0,57,0,other,Informational Post,101.05,shieldon,0
wood knife handle,1300,13.0,2,19,knife_types,Informational Post,100.89,koi,0
best japanese knives,3600,19.0,32,1,other,List Post,100.3,noblie,0
rockwell c scale,1600,19.0,1,21,other,Informational Post,100.14,noblie,0
bird lorikeet,1000,0.0,19,0,comparison,Comparison,100.0,koi,0
penknife,2400,26.0,3,0,knife_types,Informational Post,100.0,koi,0
s35vn steel,1600,14.0,1,0,steel_types,Informational Post,100.0,noblie,0
wombat animals in australia,8100,55.0,48,0,other,Informational Post,99.69,koi,0
full tang knife,1900,19.0,1,1,knife_types,Informational Post,99.26,koi,0
seax blade,2400,16.0,18,7,knife_types,Informational Post,98.77,noblie,0
elmax steel,880,2.0,7,11,steel_types,Informational Post,97.68,noblie,0
s30v steel,1900,15.0,10,7,steel_types,Informational Post,97.58,noblie,0
pocket knife sharpener,2900,14.0,36,0,knife_types,How-to Tutorial,96.67,insight,0
knife for boots,2900,14.0,81,0,knife_types,Comparison,96.67,shieldon,0
magnacut steel,2900,14.0,38,0,steel_types,Informational Post,96.67,noblie,0
rainbow bird,2900,35.0,1,0,other,Informational Post,96.67,koi,0
diamond whetstone sharpening stone,1900,6.0,23,1,maintenance,How-to Tutorial,95.95,koi,0
meat cleaver knife,1900,14.0,6,0,knife_types,Informational Post,95.0,koi,0
how to sharpen a knife with a whetstone,1600,23.0,1,28,knife_types,How-to Tutorial,93.09,koi,0
krambit,1600,25.0,1,35,other,Informational Post,92.57,noblie,0
csgo most expensive knife,1300,17.0,1,28,knife_types,Informational Post,92.44,noblie,0
ballistic knives,2400,11.0,30,0,other,List Post,91.43,shieldon,0
14c28n steel,1900,7.0,44,0,steel_types,Informational Post,89.41,koi,0
14c28n steel,1900,7.0,82,0,steel_types,Informational Post,89.41,shieldon,0
types of knifes,1300,18.0,1,28,knife_types,List Post,89.14,noblie,0
m390,880,9.0,1,28,steel_types,Informational Post,88.93,noblie,0
black swan bird,2900,39.0,2,0,other,Informational Post,88.78,koi,0
8cr13mov stainless steel,590,2.0,1,20,steel_types,Informational Post,88.5,zhangxiaoquan,0
3cr13 stainless steel,390,0.0,1,51,steel_types,Informational Post,88.34,zhangxiaoquan,0
kiritsuke knife,2400,12.0,40,0,knife_types,Informational Post,87.27,xinzuo,0
bone handle knife,720,6.0,2,29,knife_types,Informational Post,87.08,koi,0
cuchillo kukri cs2,1600,14.0,9,8,other,Informational Post,86.4,noblie,0
boot knives,1900,18.0,4,6,other,Informational Post,86.31,noblie,0
carbon steel vs stainless steel knife,480,1.0,3,31,steel_types,Comparison,85.75,koi,0
wwi trench knife,880,11.0,1,36,knife_types,Informational Post,85.49,noblie,0
paring knife uses,1600,5.0,64,0,knife_types,Informational Post,85.33,noblie,0
knife blade shapes,1000,22.0,2,82,knife_types,Informational Post,85.31,noblie,0
knife designs,1000,15.0,1,41,knife_types,Informational Post,84.6,noblie,0
karambit 387,1900,23.0,4,22,knife_types,Informational Post,84.29,noblie,0
damascus knives,3600,25.0,38,1,steel_types,Informational Post,83.11,noblie,0
swiss army knife tools,1300,26.0,1,53,knife_types,Informational Post,82.88,noblie,0
santoku vs chef knife,2900,18.0,32,0,knife_types,Comparison,82.86,noblie,0
chinese cleaver,2900,32.0,4,0,knife_types,Informational Post,82.86,koi,0
chinese cleaver,2900,32.0,4,0,knife_types,Informational Post,82.86,zhangxiaoquan,0
santoku vs chef knife,2900,18.0,33,0,knife_types,Comparison,82.86,koi,0
kukri knife csgo,1600,19.0,3,0,knife_types,Informational Post,82.76,shieldon,0
damascus pocket knife,2400,25.0,4,0,steel_types,Informational Post,82.29,noblie,0
cowboy accessories,1300,9.0,5,0,comparison,Comparison,82.11,koi,0
galah cockatoo,2900,43.0,2,0,other,Informational Post,82.08,koi,0
switchblades,5400,43.0,66,0,knife_types,Informational Post,81.51,noblie,0
knife tang,1000,16.0,1,41,knife_types,Informational Post,81.35,noblie,0
gerber mark ii,1900,9.0,33,1,other,Informational Post,80.8,shieldon,0
batoning meaning,1900,14.0,15,2,other,Informational Post,80.75,shieldon,0
mushroom knife,1000,0.0,82,0,knife_types,Informational Post,80.0,shieldon,0
sushi knife,2900,19.0,33,0,knife_types,Informational Post,80.0,koi,0
santoku blade,1600,20.0,1,0,knife_types,Informational Post,80.0,koi,0
japanese vegetable knife,2400,14.0,45,0,knife_types,Informational Post,80.0,koi,0
can you have dummy otf knives in california,1000,0.0,69,0,knife_laws,Comparison,80.0,shieldon,0
wombats australia,6600,57.0,40,1,other,Informational Post,79.59,koi,0
concealed carry knife,1300,20.0,3,22,knife_laws,Informational Post,79.3,noblie,0
knife shapes,880,26.0,1,116,knife_types,Informational Post,79.2,noblie,0
damascus chef knife,1600,19.0,4,19,steel_types,Informational Post,78.79,noblie,0
black swan the animal,2400,36.0,2,0,other,Informational Post,78.26,koi,0
hrc hardness scale,1300,21.0,1,24,other,Informational Post,78.0,koi,0
rainbow parrot bird,2900,46.0,1,0,other,Informational Post,77.68,koi,0
s30v steel,1900,15.0,18,2,steel_types,Informational Post,77.52,koi,0
rostfrei knives,720,8.0,1,29,other,Informational Post,77.4,noblie,0
neck knife,2900,20.0,54,0,knife_types,Informational Post,77.33,shieldon,0
myabi,3600,60.0,3,0,other,Informational Post,77.14,koi,0
vg10 steel,1600,12.0,13,6,steel_types,Informational Post,77.09,noblie,0
seki knife vs sakai,720,2.0,4,7,knife_types,Comparison,77.04,zhangxiaoquan,0
knife making kit,1600,15.0,6,0,knife_types,Informational Post,76.8,noblie,0
german knives,1600,20.0,9,20,other,Informational Post,76.8,noblie,0
dagger designs,390,0.0,2,31,knife_types,Informational Post,76.64,noblie,0
black swan animal,2400,37.0,2,0,other,Informational Post,76.6,koi,0
good knife set,4400,36.0,93,0,knife_types,Informational Post,76.52,insight,0
titanium damascus,1300,11.0,4,3,steel_types,Informational Post,76.51,noblie,0
black swans,2900,47.0,1,0,other,Informational Post,76.32,koi,0
types of knife blades,1000,18.0,1,41,knife_types,List Post,75.54,noblie,0
aztec weapons,5400,49.0,25,3,other,Informational Post,75.42,noblie,0
boot with knife,880,14.0,1,36,knife_types,Informational Post,74.8,noblie,0
aztec macuahuitl,590,0.0,7,5,other,Informational Post,74.34,noblie,0
folding knife sheath,1300,4.0,68,0,knife_types,Informational Post,74.29,noblie,0
custom knives,4400,58.0,15,13,other,Informational Post,73.12,noblie,0
jambiya knife,1300,18.0,4,31,knife_types,Informational Post,72.99,noblie,0
new york knife laws,1300,8.0,16,1,knife_laws,Comparison,72.94,noblie,0
parts of knife,1300,8.0,15,1,knife_types,Informational Post,72.94,noblie,0
kukri knife cs2,1900,17.0,19,2,knife_types,Informational Post,71.78,noblie,0
s30v,1900,17.0,17,2,steel_types,Informational Post,71.78,koi,0
chopping knife,1900,30.0,3,0,knife_types,Informational Post,71.25,koi,0
swedish company damascus steel mosaic pattern automotive gear-stick knobs,1300,19.0,8,31,steel_types,Informational Post,70.47,noblie,0
sulfur cockatoo,880,0.0,48,0,other,Informational Post,70.4,koi,0
kangaroos in australia,880,0.0,53,0,other,Informational Post,70.4,koi,0
bunka,1000,16.0,3,22,other,Informational Post,70.38,koi,0
dagger knife,2900,23.0,68,0,knife_types,Informational Post,70.3,noblie,0
how to sharpen a machete,720,6.0,3,4,maintenance,How-to Tutorial,70.2,noblie,0
d2 steel knife,1300,5.0,22,1,steel_types,Informational Post,70.03,noblie,0
conceal a knife,1300,13.0,5,3,knife_types,Informational Post,69.86,koi,0
sashimi knife,1900,12.0,35,1,knife_types,Informational Post,69.78,koi,0
switch blades,2900,42.0,9,4,knife_types,Informational Post,69.6,noblie,0
kinds of swords,1900,18.0,14,2,knife_types,Comparison,69.21,noblie,0
rockwell scale,2400,33.0,9,3,other,Informational Post,68.99,noblie,0
aus 10 steel,590,9.0,2,48,steel_types,Informational Post,68.94,noblie,0
knife holster,1600,9.0,22,2,knife_types,Informational Post,68.72,noblie,0
paratrooper knife,720,15.0,3,59,knife_types,Informational Post,68.69,noblie,0
is it dangerous to have scissors in your pocket,2400,18.0,50,0,comparison,Comparison,68.57,insight,0
nakiri vs santoku,480,2.0,3,14,knife_types,Comparison,68.4,koi,0
number of flowers and layers in damascus steel mosaic pattern,480,2.0,2,14,steel_types,Informational Post,68.4,noblie,0
most expensive knife in csgo,880,13.0,2,19,knife_types,Informational Post,68.3,noblie,0
claw knife,1000,12.0,1,0,knife_laws,Informational Post,68.18,noblie,0
s35vn steel,1600,14.0,12,2,steel_types,Informational Post,68.0,koi,0
best steel for knives,1900,13.0,27,2,steel_types,Comparison,67.41,koi,0
parts of a dagger,480,4.0,3,31,knife_types,Informational Post,67.37,noblie,0
most expensive knife,480,3.0,3,21,knife_types,Informational Post,67.02,noblie,0
inuit knife,720,10.0,1,24,knife_types,Informational Post,66.96,noblie,0
dirk weapon,1900,19.0,16,2,other,Informational Post,66.83,noblie,0
yarborough knives,480,5.0,3,39,comparison,Comparison,66.72,noblie,0
knife box,1000,2.0,36,0,knife_types,Informational Post,66.67,noblie,0
knife lanyard,1300,20.0,4,28,knife_types,Informational Post,66.56,noblie,0
different sword types,1900,19.0,20,1,knife_types,Comparison,66.17,noblie,0
best steel for knives,1900,13.0,39,0,steel_types,Comparison,66.09,noblie,0
s90v steel,590,5.0,1,12,steel_types,Informational Post,66.08,noblie,0
choil,1000,18.0,1,22,other,Informational Post,65.36,koi,0
knife steel chart,1900,20.0,20,2,steel_types,Informational Post,64.6,noblie,0
knife handle wood,1000,11.0,7,13,knife_types,Informational Post,64.57,noblie,0
sword names,2900,26.0,56,0,knife_types,Comparison,64.44,noblie,0
fairy wren,2400,38.0,4,6,other,Informational Post,63.6,koi,0
timascus,880,13.0,4,38,other,Informational Post,63.36,noblie,0
kookaburras,1900,35.0,2,0,other,Informational Post,63.33,koi,0
awesome steak knives,3600,36.0,41,1,other,Informational Post,63.23,insight,0
blue steel roof,390,0.0,1,8,steel_types,Informational Post,63.18,koi,0
mosaic damascus,390,4.0,1,51,steel_types,Informational Post,63.1,noblie,0
smith and wesson pocket knife,1300,21.0,3,0,knife_types,Informational Post,62.9,koi,0
paracord guild step by step paracord knife handle patterns,1900,29.0,7,7,knife_types,Comparison,62.55,noblie,0
420hc steel,1300,11.0,11,1,steel_types,Informational Post,62.52,noblie,0
rockwell hardness scale,1900,21.0,13,2,other,Informational Post,62.52,noblie,0
how to close a folding knife,1300,15.0,6,0,knife_types,How-to Tutorial,62.4,noblie,0
kookaburra animal,1900,36.0,1,0,other,Informational Post,61.96,koi,0
sourdough bread knife,1600,21.0,5,0,knife_types,How-to Tutorial,61.94,koi,0
what shape of dagger is best for stabbing,1000,10.0,10,3,knife_types,Comparison,61.8,noblie,0
floral knife,1300,7.0,50,0,knife_types,Comparison,61.18,shieldon,0
glock knives,1600,24.0,7,8,other,Informational Post,60.99,noblie,0
santoku knife vs chef knife,1900,15.0,55,0,knife_types,Comparison,60.8,noblie,0
what is a paring knife used for,1900,15.0,71,0,knife_types,Comparison,60.8,noblie,0
santoku knife vs chef knife,1900,15.0,46,0,knife_types,Comparison,60.8,koi,0
steel cpm s30v,880,15.0,1,15,steel_types,Informational Post,60.72,koi,0
seki knife vs sakai,720,2.0,12,1,knife_types,Comparison,60.6,noblie,0
what is g10 material,720,13.0,1,29,other,Informational Post,60.57,koi,0
hrc scale,1300,23.0,5,28,other,Informational Post,60.51,koi,0
tungsten knife,720,12.0,3,23,knife_types,Informational Post,60.38,zhangxiaoquan,0
铁锅炖,1300,17.0,4,4,other,Informational Post,60.09,zhangxiaoquan,0
d2 vs 14c28n,480,2.0,1,0,steel_types,Comparison,60.0,zhangxiaoquan,0
japanese knife types,1300,12.0,19,1,knife_types,List Post,59.68,koi,0
are balisongs legal in texas,590,0.0,13,1,knife_laws,Informational Post,59.59,noblie,0
elmax,720,10.0,1,10,other,Informational Post,59.4,noblie,0
goanna lizard,1900,32.0,4,9,other,Informational Post,59.17,koi,0
meat clever,1300,23.0,1,0,cooking,Informational Post,59.09,koi,0
are switchblades illegal,1300,18.0,7,6,knife_laws,Informational Post,59.06,noblie,0
japanese knives types,590,0.0,16,0,other,List Post,59.0,koi,0
is d2 steel good,590,5.0,1,0,steel_types,Informational Post,59.0,noblie,0
takamura knives,1600,12.0,26,1,other,Informational Post,58.76,koi,0
s30v vs s90v,480,0.0,6,2,steel_types,Comparison,58.75,noblie,0
hrc hardness,1000,15.0,5,22,other,Informational Post,58.56,koi,0
wood knife,880,16.0,2,15,knife_types,Informational Post,58.38,noblie,0
9cr18mov,720,13.0,1,24,other,Informational Post,58.23,shieldon,0
serrated knife description,480,0.0,10,1,knife_types,Informational Post,58.18,koi,0
parts of knife,1300,8.0,58,0,knife_types,Informational Post,57.78,koi,0
boning knives,1300,17.0,5,0,other,Informational Post,57.78,koi,0
dagger definition,1900,52.0,7,57,knife_types,Informational Post,57.74,noblie,0
7cr17mov,590,4.0,4,14,steel_types,Informational Post,57.65,zhangxiaoquan,0
what is micarta,720,0.0,74,0,other,Informational Post,57.6,shieldon,0
what is micarta,720,0.0,34,0,other,Informational Post,57.6,koi,0
japanese damascus knife,1300,21.0,5,14,steel_types,Informational Post,57.37,koi,0
knife safety,1300,24.0,1,0,knife_types,Informational Post,57.35,koi,0
wwi trench knives,320,0.0,1,19,other,Informational Post,57.12,noblie,0
how to throw knives,1600,27.0,9,10,other,How-to Tutorial,57.08,noblie,0
gerber mark 2,2400,24.0,31,1,other,Informational Post,57.04,shieldon,0
bowie knife-styles,880,16.0,2,12,knife_types,Informational Post,56.86,noblie,0
s30v,1900,17.0,29,1,steel_types,Informational Post,56.86,noblie,0
ar-rpm9,880,6.0,15,3,other,Informational Post,56.65,shieldon,0
best chef knife set,2400,34.0,20,3,knife_types,List Post,56.18,insight,0
edlund k004sp knife for,720,6.0,10,4,knife_types,Comparison,56.16,noblie,0
knife vs dagger,880,10.0,4,6,knife_types,Comparison,55.97,noblie,0
why balisongs are illegal,720,3.0,16,1,knife_laws,Informational Post,55.94,noblie,0
german knife brands,1300,21.0,9,11,knife_types,Informational Post,55.86,noblie,0
small knives kitchen,1600,13.0,53,0,cooking,Informational Post,55.65,insight,0
deba,1600,13.0,42,0,other,Informational Post,55.65,koi,0
yanagiba knife,1600,13.0,38,0,knife_types,Informational Post,55.65,koi,0
3cr13,480,4.0,1,8,steel_types,Informational Post,55.54,zhangxiaoquan,0
knife blade,1900,18.0,23,2,knife_types,Informational Post,55.37,noblie,0
renaissance wax,2900,32.0,50,0,other,Informational Post,55.24,noblie,0
skinner knife,880,17.0,2,13,knife_types,Informational Post,55.24,koi,0
angle guide for knife sharpening,480,5.0,1,15,knife_types,Ultimate Guide,55.2,noblie,0
high carbon steel,2400,25.0,78,0,steel_types,Informational Post,54.86,shieldon,0
m390 knife,1300,9.0,40,0,steel_types,Informational Post,54.74,noblie,0
m390 knife,1300,9.0,68,0,steel_types,Informational Post,54.74,shieldon,0
how to sharpen a knife with a rod,1300,9.0,72,0,knife_types,How-to Tutorial,54.74,insight,0
irish shillelagh,1600,34.0,3,0,other,Informational Post,54.55,noblie,0
spiny anteater,1600,26.0,7,2,other,Informational Post,54.4,koi,0
california knife laws,1900,18.0,39,0,knife_laws,Comparison,54.29,shieldon,0
knife carve turkey,1900,18.0,45,0,knife_types,Informational Post,54.29,insight,0
boot knives,1900,18.0,49,0,other,Informational Post,54.29,shieldon,0
why are switchblades illegal,1300,30.0,4,39,knife_laws,Informational Post,54.21,noblie,0
paracord knife lanyard,880,19.0,1,19,knife_types,Comparison,54.17,noblie,0
gyuto vs santoku,880,3.0,21,0,knife_types,Comparison,54.15,koi,0
wootz steel,1900,36.0,8,9,steel_types,Informational Post,54.03,noblie,0
rainbow lorikeet species,2900,45.0,17,2,comparison,Comparison,53.78,koi,0
14c28n vs d2,590,1.0,17,0,steel_types,Comparison,53.64,noblie,0
cpm s30v steel,1300,15.0,12,3,steel_types,Informational Post,53.56,noblie,0
how to sharpen a knife with a stone,1300,32.0,1,15,knife_types,How-to Tutorial,53.39,koi,0
penknife,2400,26.0,62,0,knife_types,Informational Post,53.33,shieldon,0
knife sheaths leather,1000,5.0,32,0,knife_types,Informational Post,53.33,noblie,0
5cr15mov steel,320,0.0,1,11,steel_types,Informational Post,53.28,zhangxiaoquan,0
knife sharpening angle,1000,21.0,1,10,knife_types,How-to Tutorial,53.23,noblie,0
glock knife 78,590,8.0,2,8,knife_types,Informational Post,53.1,noblie,0
large knife,590,6.0,4,20,knife_types,Informational Post,53.1,noblie,0
usuba vs nakiri,480,1.0,6,1,comparison,Comparison,52.89,koi,0
carbon steel vs stainless steel knife,480,1.0,8,1,steel_types,Comparison,52.89,noblie,0
cpm 154 steel,480,5.0,1,10,steel_types,Informational Post,52.8,noblie,0
damascus titanium,390,3.0,1,17,steel_types,Informational Post,52.65,noblie,0
cpm s30v steel,1300,15.0,17,1,steel_types,Informational Post,52.52,koi,0
forged knife,1000,25.0,1,22,knife_types,Comparison,52.29,noblie,0
12c27 steel,480,6.0,1,16,steel_types,Informational Post,52.2,koi,0
blade blades,1600,36.0,2,0,knife_types,Informational Post,52.17,koi,0
cygnus atratus,1900,45.0,2,0,other,Informational Post,51.82,koi,0
currawong bird,720,31.0,1,95,other,Informational Post,51.37,koi,0
are switchblades legal in florida,590,14.0,3,38,knife_laws,Comparison,50.89,noblie,0
are balisongs illegal,880,12.0,8,6,knife_laws,Informational Post,50.88,noblie,0
sujihiki knife,880,4.0,23,1,knife_types,Informational Post,50.79,koi,0
filleting knife,880,16.0,2,0,knife_types,Informational Post,50.77,koi,0
high carbon stainless steel knives,1300,16.0,13,1,steel_types,Informational Post,50.5,koi,0
n690 steel,880,4.0,47,0,steel_types,Informational Post,50.29,shieldon,0
types of japanese cooking knives,880,4.0,42,0,cooking,List Post,50.29,noblie,0
types of japanese cooking knives,880,4.0,36,0,cooking,List Post,50.29,koi,0
