Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
maxam knife set,1,1,140,0,0.52,https://www.insight-kitchenknife.com/are-maxam-kitchen-knives-any-good.html,0,0,0.00,1,103000,"[66,80,42,52,42,66,42,52,66,66,52,66]",2026-02-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
kitchenaid electric knife,1,1,40,22,0.48,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,7660000,"[6,1,1,1,1,1,1,1,1,1,1,10]",2026-02-21,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
cuisinart knife set with block,1,1,320,23,0.62,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,1590000,"[100,66,28,44,35,35,28,44,66,44,54,100]",2026-02-28,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","navigational, transactional",People also ask
cuisinart advantage knives,1,1,40,27,0.53,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,285000,"[100,28,0,21,7,35,35,35,28,28,21,28]",2026-02-16,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
gordon ramsay favorite knives,1,1,30,13,0.89,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.97,1560000,"[22,4,4,4,4,4,4,4,4,4,4,4]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
hampton forge chef knife,1,1,40,22,0.37,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,152000,"[41,11,11,64,17,23,23,11,11,11,11,11]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
henkles,1,1,1000,46,0.33,https://www.insight-kitchenknife.com/what-knives-does-gordon-ramsey-give-to-hell-s-kitchen-chef-s.html,7,6.93,2.00,1,8130000,"[41,79,41,30,30,30,54,54,36,30,20,41]",2026-02-20,"Sitelinks, Video, Image, People also ask, Related searches, See results about, Things to know",navigational,People also ask
yax stainless steel japan,1,1,40,3,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.02,14600,"[18,18,18,18,18,18,18,18,100,18,100,18]",2026-02-22,"Image pack, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
vintage japanese hobo knife,1,1,90,14,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.27,230000,"[18,100,100,18,18,100,100,100,81,81,81,100]",2026-02-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
cook knife,1,1,210,55,1.40,https://www.insight-kitchenknife.com/the-ultimate-showdown-vegetable-knife-vs-chef-s-knife.html,0,0,0.00,1,276000000,"[37,20,8,2,2,1,2,7,0,7,25,8]",2026-03-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
what knives does chef ramsay use,1,1,30,12,1.09,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.98,1020000,"[100,18,18,18,18,18,18,18,18,18,18,27]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
kitchenaid 12 piece knife set,1,1,70,16,0.45,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,5130000,"[19,10,7,7,7,5,5,5,5,10,10,10]",2026-02-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
dahlstrom knives,1,1,390,32,1.16,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,315000,"[44,19,81,81,66,36,66,66,66,15,36,100]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",navigational,People also ask
valor knives,1,1,140,7,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.13,4710000,"[53,34,28,34,53,34,43,43,43,43,43,53]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
67 layer damascus steel knives,1,1,40,22,1.20,https://www.insight-kitchenknife.com/are-procook-damascus-knives-any-good.html,1,0.99,1.00,0.74,294000,"[9,9,9,9,9,9,9,9,9,9,52,52]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
hammer stahl knives review,1,1,90,4,0.91,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.99,84800,"[16,10,8,3,3,6,3,3,8,5,3,10]",2026-03-01,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
paring knife set,1,1,390,17,0.76,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,8330000,"[100,67,36,29,36,23,29,36,44,36,36,81]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
ceramic knife set block,1,1,50,21,0.65,https://www.insight-kitchenknife.com/what-are-the-best-knife-block-materials-for-preventing-damage.html,0,0,0.00,1,8910000,"[35,7,17,7,12,17,17,12,0,7,7,23]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
dull knife people,1,1,40,14,0.00,https://www.insight-kitchenknife.com/what-does-a-dull-knife-mean.html,1,0.99,0.00,0.33,12400000,"[0,0,0,0,0,0,0,0,0,100,53,6]",2026-02-17,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
are yatoshi knives good,1,1,70,5,1.20,https://www.insight-kitchenknife.com/are-yatoshi-knives-real-damascus.html,2,1.98,2.00,0.99,11100,"[65,7,7,7,7,7,7,42,7,7,7,100]",2026-02-18,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
are yatoshi knives good,1,1,70,5,1.20,https://www.insight-kitchenknife.com/are-yatoshi-knives-real-damascus.html,0,0,0.00,0.99,11100,"[65,7,7,7,7,7,7,42,7,7,7,100]",2026-02-18,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
how to clean scissors rust,1,1,70,16,0.00,https://www.insight-kitchenknife.com/what-are-the-best-practices-for-preventing-kitchen-shears-from-rusting.html,0,0,0.00,0.02,4440000,"[19,7,7,7,7,26,7,15,53,42,42,42]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
olympia japan knife,1,1,110,16,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.17,368000,"[78,78,78,78,78,100,100,64,50,78,100,100]",2026-02-23,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
taylor cutlery japan,1,1,50,13,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.04,1120000,"[18,18,18,100,18,18,18,100,100,18,100,18]",2026-02-07,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",People also ask
stainless steel dinner knives,1,1,140,12,0.92,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.95,7180000,"[5,5,5,5,28,28,28,35,100,82,82,35]",2026-02-28,"Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
munster knife,1,1,70,2,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0,1370000,"[100,82,53,0,0,0,0,0,0,0,0,0]",2026-02-28,"Image pack, Video, Image, People also ask",informational,People also ask
williams sonoma electric knife,1,1,40,32,0.79,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,237000,"[64,11,11,11,11,11,11,11,11,11,11,64]",2026-03-01,"Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
kawahiro japanese chef knife,1,1,30,24,0.76,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,1,10100,"[28,5,5,5,5,5,5,5,5,5,5,5]",2026-02-10,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos","informational, transactional",People also ask
pvc knife handle,1,1,110,24,0.00,https://www.insight-kitchenknife.com/how-do-plastic-handle-knives-compare-to-wooden-handle-knives-in-terms-of-durability.html,2,1.98,0.00,0,9760000,"[64,64,64,64,64,82,64,41,41,82,100,41]",2026-02-06,"Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
gordon ramsay recommended knives,1,1,30,17,0.96,https://www.insight-kitchenknife.com/what-knives-does-gordon-ramsey-give-to-hell-s-kitchen-chef-s.html,0,0,0.00,1,1580000,"[100,18,18,18,18,18,18,18,18,18,18,18]",2026-02-03,"Image pack, Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
henckels classic self sharpening block set,1,1,50,12,0.73,https://www.insight-kitchenknife.com/are-self-sharpening-knife-blocks-good.html,0,0,0.00,1,113000,"[11,41,11,64,11,0,11,11,11,100,41,11]",2026-03-03,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",transactional,People also ask
thomas santoku knife,1,1,90,13,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.86,228000,"[42,42,7,7,42,42,42,34,34,26,42,65]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
senkenknives,2,2,30,36,1.26,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,49300,"[5,23,6,0,6,0,0,9,0,0,1,0]",2026-02-28,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Short videos",navigational,People also ask
식칼,2,0,50,12,0.00,https://www.insight-kitchenknife.com/ko/how-often-to-replace-kitchen-knives.html,0,0,0.00,0.83,2240000,"[10,5,100,5,5,5,5,5,5,5,5,5]",2026-03-30,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
royal prestige knife set,2,2,320,28,0.81,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,1940000,"[100,66,66,66,54,54,54,81,66,100,54,81]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
hells kitchen knife set,2,2,110,16,1.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,2,1.98,2.00,1,1600000,"[66,18,18,23,11,1,11,11,11,8,18,23]",2026-02-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","commercial, informational",People also ask
are kitchenaid knives good,2,2,90,21,0.39,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,1,0.99,0.00,0.93,5800000,"[100,33,33,33,33,33,33,33,33,33,42,66]",2026-02-02,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
floating fishing knife japan,2,2,90,23,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.29,1500000,"[42,42,42,42,42,34,34,15,26,26,53,26]",2026-02-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask",informational,People also ask
cuisine art knives,2,2,140,18,0.38,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,15800000,"[15,100,1,5,7,5,4,10,7,5,5,10]",2026-02-23,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know","informational, transactional",People also ask
kuhn rikon knife set,2,2,40,12,0.39,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,460000,"[100,100,18,18,18,18,18,18,18,18,18,18]",2026-02-28,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
meat cleavet,2,2,30,27,0.78,https://www.insight-kitchenknife.com/how-to-wash-kitchen-knives-after-cutting-meat.html,0,0,0.00,1,7210000,"[0,0,0,0,0,100,0,0,0,21,0,0]",2026-02-11,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
benchmade kitchen knife set,2,2,590,32,0.46,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,883000,"[55,20,16,16,13,16,30,20,20,30,62,100]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","navigational, transactional",People also ask
premium japanese knives,2,2,40,27,1.17,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,1,7700000,"[18,18,100,100,18,18,18,18,18,18,18,45]",2026-02-11,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
mac tools kitchen knife set,2,2,40,9,0.84,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,13900000,"[34,6,6,6,6,6,6,6,6,6,6,65]",2026-02-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos","informational, transactional",People also ask
are misen knives good,2,2,40,18,0.69,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.98,115000,"[34,6,6,6,6,6,6,6,6,6,6,34]",2026-03-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
bellemain steak knives,2,2,50,23,0.49,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,6480,"[100,63,45,45,45,45,36,36,45,36,36,63]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
gordon ramsay knife set hell's kitchen,2,2,30,19,0.84,https://www.insight-kitchenknife.com/what-knives-does-gordon-ramsey-give-to-hell-s-kitchen-chef-s.html,2,1.98,1.00,1,112,"[42,7,0,7,11,11,11,11,11,15,0,7]",2026-03-20,"Image pack, Sitelinks, Video, Image, Related searches, AI overview","commercial, informational",Organic
mac kitchen knives,2,2,90,26,0.71,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,26700000,"[19,7,5,10,7,10,10,7,10,10,15,23]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",navigational,People also ask
shark knives,2,2,140,5,1.88,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.89,11300000,"[100,1,0,2,2,4,5,10,10,36,10,19]",2026-02-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",People also ask
zyliss paring knife,2,2,70,9,0.45,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,227000,"[78,14,14,14,14,78,78,78,78,14,14,78]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
maxam steel knife,2,2,320,25,0.28,https://www.insight-kitchenknife.com/are-maxam-kitchen-knives-any-good.html,7,6.93,1.00,0.97,190000,"[35,22,66,54,66,81,66,81,66,66,66,66]",2026-01-30,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,People also ask
floating fish knife japan,2,2,110,23,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0.29,1270000,"[78,78,78,78,78,64,78,50,100,50,100,64]",2026-02-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
hell's kitchen knife set,2,2,210,6,1.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,6,5.94,6.00,1,972000,"[59,26,17,17,14,14,11,14,17,9,11,26]",2026-02-24,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
block knife sharpener,2,2,210,12,0.56,https://www.insight-kitchenknife.com/are-self-sharpening-knife-blocks-good.html,3,2.97,1.00,1,2690000,"[36,24,13,13,13,13,20,20,13,13,20,20]",2026-02-27,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
old homestead japanese knives,3,3,720,23,0.00,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,0,197000,"[100,0,0]",2026-02-24,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview","commercial, informational",People also ask
global knife sale,3,3,90,14,0.82,https://www.insight-kitchenknife.com/what-kind-of-kitchen-knives-does-gordon-ramsay-use.html,0,0,0.00,1,68400000,"[43,43,10,2,2,10,17,23,10,17,35,53]",2026-03-03,"Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
cutluxe steak knives,3,3,30,0,0.87,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,22100,"[18,63,18,18,18,81,63,18,18,18,18,18]",2026-03-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","navigational, transactional",People also ask
cuisinart knife,3,3,1300,28,0.38,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,13900000,"[36,24,36,36,27,66,27,36,66,27,36,52]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
cuisinart classic knife set,3,3,320,35,0.40,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,3830000,"[76,30,20,24,20,20,20,16,16,16,16,20]",2026-02-15,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
cuisinart knife set stainless,3,3,110,26,0.55,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,3030000,"[100,42,52,19,42,100,66,42,33,66,66,14]",2026-03-05,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
where are yatoshi knives made,3,3,40,16,1.23,https://www.insight-kitchenknife.com/are-yatoshi-knives-real-damascus.html,0,0,0.00,0.27,4360,"[100,18,18,18,18,18,18,18,18,18,18,100]",2026-02-08,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
kansept knife,3,3,1600,35,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0,512000,"[30,3,82,100,65,55,82,100,65,30,30,44]",2026-03-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos",navigational,People also ask
japanese knife brand,3,3,90,23,0.88,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,1,49400000,"[36,15,6,5,0,29,9,44,9,0,0,0]",2026-02-24,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",People also ask
mercer culinary renaissance chef's knife,3,3,40,13,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0,46700,"[14,14,14,0,14,78,78,14,14,14,100,7]",2026-03-01,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",People also ask
best sharp kitchen knives,3,3,90,42,0.88,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,15400000,"[100,42,19,23,33,42,42,42,33,33,42,80]",2026-02-28,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
ryusen knives,3,3,320,4,0.75,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,195000,"[32,21,21,59,59,39,26,32,26,21,26,39]",2026-03-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
is yatoshi a good knife brand,3,3,40,18,1.01,https://www.insight-kitchenknife.com/are-yatoshi-knives-real-damascus.html,0,0,0.00,0.98,4910,"[52,9,9,9,9,9,9,9,9,9,9,100]",2026-02-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
amazon chef knives,3,3,70,37,0.55,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.98,11000000,"[21,53,21,15,34,0,0,12,21,0,21,53]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",transactional,People also ask
sixleaf sl-67,3,3,210,25,0.00,https://www.insight-kitchenknife.com/are-procook-damascus-knives-any-good.html,0,0,0.00,0,5890,"[100,0,0,0,0,0,0,0,0]",2026-03-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
chroma knife,3,3,70,6,0.62,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0.92,3390000,"[9,6,0,3,43,34,9,15,21,12,65,15]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
henckels graphite self sharpening block set,3,3,90,21,0.58,https://www.insight-kitchenknife.com/what-knives-does-gordon-ramsey-give-to-hell-s-kitchen-chef-s.html,0,0,0.00,1,42100,"[34,19,11,3,15,11,7,42,19,80,42,100]",2026-02-21,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
cuisinart knife block set,3,3,320,22,0.62,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,2980000,"[66,54,23,29,19,23,44,44,66,36,100,81]",2026-02-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
are self sharpening knife blocks good,3,3,40,12,0.68,https://www.insight-kitchenknife.com/are-self-sharpening-knife-blocks-good.html,0,0,0.00,1,135,"[9,9,9,9,9,9,9,9,9,9,52,80]",2026-03-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
best japanese knives on amazon,3,3,90,,0.77,https://www.insight-kitchenknife.com/top-cooking-knives-manufacturers-in-japan.html,0,0,0.00,1,7300000,"[100,34,11,26,3,3,26,42,19,34,26,53]",2026-02-07,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,People also ask
how long does a knife sharpener last,3,3,40,10,0.29,https://www.insight-kitchenknife.com/how-long-does-a-knife-sharpener-last.html,0,0,0.00,0.22,20000000,"[100,100,18,18,18,18,18,18,18,18,18,18]",2026-02-17,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
cuisinart knife set 6 piece,4,4,110,16,0.41,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,5760000,"[100,80,42,42,33,52,52,42,42,52,33,42]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
tupperware knives,4,4,110,15,0.28,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,1190000,"[65,42,26,42,34,42,42,65,42,53,34,53]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
