Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
blade types,1,1,480,24,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,19,0.09,0.00,0.01,214,"[7,5,7,24,10,5,8,4,10,8,4,7]",2026-03-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos",informational,Image pack
blade types,1,1,480,24,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,19,0.09,0.00,0.01,214,"[7,5,7,24,10,5,8,4,10,8,4,7]",2026-03-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos",informational,Image pack
mayan swords,1,1,70,24,0.00,https://nobliecustomknives.com/macuahuitl-the-complete-guide-to-the-aztec-obsidian-sword/,0,0,0.00,0.02,221000,"[35,50,50,14,78,100,50,35,50,50,50,50]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Image pack
mayan swords,1,1,70,24,0.00,https://nobliecustomknives.com/macuahuitl-the-complete-guide-to-the-aztec-obsidian-sword/,0,0,0.00,0.02,221000,"[35,50,50,14,78,100,50,35,50,50,50,50]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
14cr14movnb vs vg10,1,1,40,1,0.00,https://nobliecustomknives.com/vg-10-steel/,1,0,0.00,0.33,1560,"[100,11,11,11,41,41,23,11,11,11,0,11]",2026-02-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
knife shealth,1,1,50,7,0.00,https://nobliecustomknives.com/knife-sheaths/,3,0.01,0.00,0,17100000,"[2,0,0,1,2,7,0,1,0,0,0,0]",2026-01-31,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
rarest knife,1,1,50,14,0.00,https://nobliecustomknives.com/most-expensive-knife/,6,0.03,0.00,0,11500000,"[6,9,15,53,12,9,15,34,15,9,15,21]",2026-03-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
damascus steel price,1,1,90,19,0.40,https://nobliecustomknives.com/how-much-do-damascus-knives-cost/,2,0.01,0.00,0.89,5140000,"[66,66,33,19,33,42,33,42,33,33,33,33]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",transactional,People also ask
type of knife blades,1,1,140,21,0.74,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,5,0.02,3.00,0.65,43700000,"[12,17,23,43,17,53,53,17,100,53,23,35]",2026-02-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
type of knife blades,1,1,140,21,0.74,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,5,0.02,3.00,0.65,43700000,"[12,17,23,43,17,53,53,17,100,53,23,35]",2026-02-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
type of knife blades,1,1,140,21,0.74,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,4,0.02,2.00,0.65,43700000,"[12,17,23,43,17,53,53,17,100,53,23,35]",2026-02-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
wooden karambit,1,1,40,23,0.00,https://nobliecustomknives.com/ultimate-guide-to-karambits-self-defense-tactical-use-everyday-carry/,2,0.01,0.00,0.33,2210000,"[11,11,11,64,11,11,11,11,64,11,11,11]",2026-03-26,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos",informational,People also ask
unique knife designs,1,1,30,16,0.55,https://nobliecustomknives.com/designed-knives-understanding-the-craft-and-innovation/,1,0,0.00,0.86,0,"[11,11,11,64,11,11,11,11,11,11,11,11]",2026-03-09,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches","informational, transactional",Image pack
shape knife,1,1,90,13,0.55,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,1,0,0.00,0.8,0,"[0,16,8,0,0,1,0,55,0,0,1,0]",2026-02-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
shape knife,1,1,90,13,0.55,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,1,0,0.00,0.8,0,"[0,16,8,0,0,1,0,55,0,0,1,0]",2026-02-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
elephant knife,1,1,70,0,0.00,https://nobliecustomknives.com/products/elephant-knife/,2,0.01,0.00,0.43,21700000,"[50,50,50,50,50,50,64,64,35,50,50,64]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
elephant knife,1,1,70,0,0.00,https://nobliecustomknives.com/products/knife-elephants/,2,0.01,0.00,0.43,21700000,"[50,50,50,50,50,50,64,64,35,50,50,64]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
damascus pattern types,1,1,70,11,0.00,https://nobliecustomknives.com/types-of-damascus-steel/,9,0.04,0.00,0.06,3120000,"[33,33,42,23,33,23,23,23,23,23,23,19]",2026-03-27,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
swiss army knife tools chart,1,1,40,7,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,1,0,0.00,0.01,894000,"[6,6,6,6,6,6,6,6,6,34,34,6]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Image pack
swiss army knife tools chart,1,1,40,7,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,1,0,0.00,0.01,894000,"[6,6,6,6,6,6,6,6,6,34,34,6]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Image pack
swiss army knife tools chart,1,1,40,7,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,5,0.02,0.00,0.01,894000,"[6,6,6,6,6,6,6,6,6,34,34,6]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
knife sharpening angle,1,1,1000,21,0.21,https://nobliecustomknives.com/knife-sharpening-angle-guide-quick-chart-for-beginners/,10,0.05,2.00,0.85,5020000,"[52,46,37,20,52,37,68,84,68,68,37,100]",2026-02-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview",informational,Image pack
espadas aztecas,1,1,70,16,0.00,https://nobliecustomknives.com/es/macuahuitl-the-complete-guide-to-the-aztec-obsidian-sword/,2,0.01,0.00,0.01,3040000,"[0,26,53,26,34,34,0,26,0,0,34,53]",2026-03-20,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
elmax vs magnacut,1,1,390,6,0.00,https://nobliecustomknives.com/elmax-steel/,15,0.07,0.00,0.21,307000,"[36,44,36,36,44,29,36,44,44,100,54,67]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
dagger designs,1,1,390,,0.00,https://nobliecustomknives.com/types-of-daggers/,16,0.08,0.00,0,0,"[54,54,54,36,54,66,44,44,54,54,54,44]",2026-03-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches","commercial, informational",Image pack
what does a dagger look like,1,1,110,17,0.00,https://nobliecustomknives.com/what-is-a-dagger/,4,0.02,0.00,0.01,150,"[42,23,33,42,42,100,42,42,52,52,66,52]",2026-03-28,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Image pack
what does a dagger look like,1,1,110,17,0.00,https://nobliecustomknives.com/types-of-daggers/,9,0.04,0.00,0.01,150,"[42,23,33,42,42,100,42,42,52,52,66,52]",2026-03-28,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
noblie custom knives,1,1,140,25,2.76,https://nobliecustomknives.com/,112,0.56,309.00,0.23,72900,"[42,52,52,66,66,66,66,100,66,100,66,66]",2026-02-04,"Knowledge panel, Sitelinks, Video, People also ask, Popular products, Related searches","commercial, navigational",Organic
knife engraving patterns,1,1,50,9,0.00,https://nobliecustomknives.com/ideas-for-custom-knife-engraving/,1,0,0.00,0.52,1610000,"[28,28,5,5,5,5,5,5,5,28,28,5]",2026-02-23,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
knife engraving patterns,1,1,50,9,0.00,https://nobliecustomknives.com/ideas-for-custom-knife-engraving/,1,0,0.00,0.52,1610000,"[28,28,5,5,5,5,5,5,5,28,28,5]",2026-02-23,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
se ax,1,1,2900,9,0.84,https://nobliecustomknives.com/the-seax-knife-through-the-ages-saxon-vs-viking/,179,0.9,150.00,0.28,221,"[2,54,0,66,44,100,0,0,0,54,0,0]",2026-03-24,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Image pack
cool knife designs,1,1,320,16,0.71,https://nobliecustomknives.com/designed-knives-understanding-the-craft-and-innovation/,13,0.06,9.00,0.75,234000000,"[39,39,32,32,32,39,26,39,39,26,9,39]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,Image pack
sharp obsidian knife,1,1,90,23,0.00,https://nobliecustomknives.com/sharpest-knife-in-the-world/,2,0.01,0.00,0.73,962000,"[0,64,50,64,64,100,35,78,78,78,78,78]",2026-02-17,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","informational, transactional",People also ask
swiss army knife tools list,1,1,50,15,0.19,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,2,0.01,0.00,0.79,5020000,"[34,19,15,26,26,19,26,7,42,11,19,15]",2026-02-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Image pack
sharpening angle for chef knife,1,1,170,11,0.11,https://nobliecustomknives.com/knife-sharpening-angle-guide-quick-chart-for-beginners/,7,0.03,0.00,0.35,1290000,"[80,80,26,26,65,65,53,100,65,53,65,100]",2026-01-31,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Image pack
vg 10 stainless steel,1,1,90,19,0.69,https://nobliecustomknives.com/vg-10-steel/,0,0,0.00,0.85,10200000,"[5,4,4,5,3,5,6,5,6,4,8,8]",2026-02-28,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
n690 steel,1,1,880,4,0.66,https://nobliecustomknives.com/n690-steel/,15,0.07,9.00,0.05,924000,"[52,46,52,52,46,46,37,37,37,46,37,37]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,People also ask
rockwell hardness unit,1,1,70,17,2.53,https://nobliecustomknives.com/rockwell-hardness-test-for-knives/,3,0.01,7.00,0.07,1080000,"[2,3,3,3,4,3,2,2,2,3,4,3]",2026-02-25,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
can we carry knife in international flight in checked baggage,1,1,50,11,0.00,https://nobliecustomknives.com/how-many-knives-can-i-bring-back-from-japan/,3,0.01,0.00,0.33,1230000,"[23,11,100,11,52,100,11,11,11,11,11,11]",2026-02-24,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
types of fixed blade knives,1,1,50,14,0.00,https://nobliecustomknives.com/types-of-knives/,2,0.01,0.00,0,159,"[50,28,28,28,50,21,28,35,21,35,35,50]",2026-03-26,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",commercial,Image pack
types of fixed blade knives,1,1,50,14,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,2,0.01,0.00,0,159,"[50,28,28,28,50,21,28,35,21,35,35,50]",2026-03-26,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",commercial,Image pack
different knives names,1,1,70,6,0.00,https://nobliecustomknives.com/types-of-knives/,2,0.01,0.00,0.52,0,"[29,41,41,41,41,41,29,52,64,52,52,52]",2026-03-16,"Image pack, Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Image pack
154 cpm steel,1,1,170,8,0.89,https://nobliecustomknives.com/d2-steel/,3,0.01,2.00,0.86,1520000,"[8,54,54,43,8,66,66,35,81,14,22,18]",2026-02-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
what is the most expensive csgo knife,1,1,40,18,0.00,https://nobliecustomknives.com/most-expensive-knife/,1,0,0.00,0.33,911000,"[18,18,18,18,18,18,18,100,18,18,100,18]",2026-02-22,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
cuibourtia wood,1,1,90,24,0.00,https://nobliecustomknives.com/woods-for-knife-handle/,1,0,0.00,0.1,33800,"[35,18,14,14,14,18,18,14,18,14,10,18]",2026-02-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
paracord sizes chart,1,1,70,10,0.29,https://nobliecustomknives.com/paracord-the-ultimate-guide-types-sizes-uses-care/,2,0.01,0.00,0.67,858000,"[52,100,9,9,9,9,52,9,52,52,42,9]",2026-03-20,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
how to make a knife lanyard from paracord,1,1,110,19,0.00,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,1,0,0.00,0.07,645000,"[42,15,53,15,3,3,80,100,65,80,7,80]",2026-03-23,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Image pack
knife laws utah,1,1,170,16,0.00,https://nobliecustomknives.com/us-knife-laws/utah-knife-laws/,6,0.03,0.00,0,1780000,"[53,43,35,43,35,35,53,43,43,43,43,35]",2026-02-28,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
knife varieties,1,1,260,19,0.56,https://nobliecustomknives.com/types-of-knives/,10,0.05,5.00,0.74,61600000,"[2,0,0,1,2,3,0,0,5,1,3,2]",2026-03-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview","commercial, informational",Image pack
swiss army knife blades,1,1,170,22,0.19,https://nobliecustomknives.com/how-to-sharpen-a-swiss-army-knife/,7,0.03,1.00,0.12,2220000,"[4,4,4,4,43,29,66,22,35,35,43,100]",2026-03-23,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches","commercial, informational",Image pack
paracord lanyard instructions pdf,1,1,110,10,0.00,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,9,0.04,0.00,0.03,37900,"[52,52,52,52,52,52,66,80,52,52,52,42]",2026-02-27,"Image pack, Video, Related searches",informational,Image pack
knife shape,1,1,110,21,0.57,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,4,0.02,2.00,0.78,83400000,"[9,5,0,26,21,9,5,11,14,7,11,17]",2026-03-20,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Image pack
knife shape,1,1,110,21,0.57,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,4,0.02,2.00,0.78,83400000,"[9,5,0,26,21,9,5,11,14,7,11,17]",2026-03-20,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Image pack
knife sheath nearby,1,1,70,19,0.00,https://nobliecustomknives.com/state-knife-laws/,0,0,0.00,0.33,13700000,"[100,100,27,45,36,100,100,36,18,18,100,18]",2026-02-23,"Local pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
swiss army knife identification chart,1,1,210,13,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,8,0.04,0.00,0.06,332000,"[14,14,17,32,21,21,26,26,26,26,32,21]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
swiss army knife identification chart,1,1,210,13,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,8,0.04,0.00,0.06,332000,"[14,14,17,32,21,21,26,26,26,26,32,21]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
swiss army knife identification chart,1,1,210,13,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,8,0.04,0.00,0.06,332000,"[14,14,17,32,21,21,26,26,26,26,32,21]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
swiss army knife identification chart,1,1,210,13,0.00,https://nobliecustomknives.com/swiss-army-knife-identification-chart/,27,0.13,0.00,0.06,332000,"[14,14,17,32,21,21,26,26,26,26,32,21]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
types of knife locks,1,1,50,16,0.00,https://nobliecustomknives.com/knife-locks/,0,0,0.00,0.02,202,"[35,35,50,50,50,35,50,50,50,21,35,50]",2026-03-27,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Image pack
types of knife locks,1,1,50,16,0.00,https://nobliecustomknives.com/knife-locks/,0,0,0.00,0.02,202,"[35,35,50,50,50,35,50,50,50,21,35,50]",2026-03-27,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Image pack
154cm stainless steel,1,1,110,10,0.00,https://nobliecustomknives.com/d2-steel/,3,0.01,0.00,0.04,924000,"[52,52,33,52,52,52,52,42,42,52,52,66]",2026-03-03,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
steel hardness chart,1,1,170,0,1.47,https://nobliecustomknives.com/rockwell-hardness-test-for-knives/,7,0.03,10.00,0.02,9360000,"[13,16,13,16,16,10,10,10,16,13,13,13]",2026-02-28,"Image pack, Video, Image, Related searches",informational,Image pack
how to tie a knife lanyard,1,1,140,18,0.00,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,6,0.03,0.00,0,714000,"[100,64,64,100,64,64,82,100,100,100,64,100]",2026-03-03,"Image pack, Video, People also ask, Related searches, Short videos",informational,Image pack
how to tie a knife lanyard,1,1,140,18,0.00,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,6,0.03,0.00,0,714000,"[100,64,64,100,64,64,82,100,100,100,64,100]",2026-03-03,"Image pack, Video, People also ask, Related searches, Short videos",informational,Image pack
curved knife name,1,1,390,26,0.00,https://nobliecustomknives.com/ultimate-guide-to-karambits-self-defense-tactical-use-everyday-carry/,16,0.08,0.00,0.05,13900000,"[44,36,44,54,54,44,54,44,44,44,54,54]",2026-02-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Image pack
dirks weapon,1,1,110,16,0.00,https://nobliecustomknives.com/what-is-a-dirk/,4,0.02,0.00,0.09,143000,"[100,0,0,1,28,3,66,11,5,0,0,0]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
dirks weapon,1,1,110,16,0.00,https://nobliecustomknives.com/what-is-a-dirk/,3,0.01,0.00,0.09,143000,"[100,0,0,1,28,3,66,11,5,0,0,0]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
aus 8a steel,1,1,140,3,0.00,https://nobliecustomknives.com/d2-steel/,4,0.02,0.00,0.08,208,"[65,65,53,53,42,53,42,53,42,65,65,100]",2026-03-28,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
aus 8a steel,1,1,140,3,0.00,https://nobliecustomknives.com/d2-steel/,0,0,0.00,0.08,208,"[65,65,53,53,42,53,42,53,42,65,65,100]",2026-03-28,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
scalpel with blades,1,1,110,7,0.59,https://nobliecustomknives.com/sharpest-knife-in-the-world/,3,0.01,1.00,1,3810000,"[10,24,0,0,0,2,0,0,0,0,0,20]",2026-02-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",People also ask
parts of dagger,1,1,210,13,0.00,https://nobliecustomknives.com/what-is-a-dagger/,3,0.01,0.00,0,44300000,"[43,100,54,54,43,81,43,18,22,29,43,29]",2026-02-26,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
types of knives pocket,1,1,50,17,0.00,https://nobliecustomknives.com/types-of-knives/,2,0.01,0.00,0,0,"[14,21,21,35,50,50,50,78,100,35,0,7]",2026-03-07,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview",informational,Image pack
types of knives pocket,1,1,50,17,0.00,https://nobliecustomknives.com/knife-locks/,2,0.01,0.00,0,0,"[14,21,21,35,50,50,50,78,100,35,0,7]",2026-03-07,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview",informational,Image pack
scramasax,1,1,210,8,0.00,https://nobliecustomknives.com/the-seax-knife-through-the-ages-saxon-vs-viking/,1,0,0.00,0.13,52100,"[100,29,35,43,22,66,43,54,54,66,14,43]",2026-02-08,"Knowledge panel, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,AI overview
how to tie a lanyard keychain,1,1,70,22,0.00,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,5,0.02,0.00,0,1890000,"[26,26,26,15,19,26,19,34,34,26,26,26]",2026-02-21,"Image pack, Video, Image, People also ask, Related searches, Short videos, Discussions and forums",informational,Image pack
blackthorne cane,1,1,70,13,0.40,https://nobliecustomknives.com/are-cane-sword-illegal/,0,0,0.00,1,589000,"[0,15,0,12,12,0,3,65,9,3,100,15]",2026-03-01,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
knife ww1,1,1,170,10,0.00,https://nobliecustomknives.com/authenticate-the-1918-trench-knife/,7,0.03,0.00,0,2430000,"[29,29,35,54,43,54,54,14,22,43,54,14]",2026-02-04,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
knife leg holder,1,1,40,23,0.33,https://nobliecustomknives.com/what-is-a-boot-knife/,0,0,0.00,0.38,7600000,"[0,55,77,77,0,77,77,77,77,0,0,0]",2026-02-10,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
aesthetic knife,1,1,70,21,0.50,https://nobliecustomknives.com/products/knife-aesthetic/,1,0,0.00,0.68,146000000,"[18,18,14,18,14,0,6,18,18,10,22,18]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
is d2 steel good,1,1,590,5,0.00,https://nobliecustomknives.com/d2-steel/,0,0,0.00,0,22800000,"[81,67,67,67,54,54,67,67,54,54,67,54]",2026-02-01,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
small thin plastic folding blade for package opening,1,1,390,23,0.00,https://nobliecustomknives.com/state-knife-laws/,0,0,0.00,0,13000000,"[100,0,0,0,0]",2026-02-17,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
csgo rarest knife,1,1,40,14,0.00,https://nobliecustomknives.com/most-expensive-knife/,0,0,0.00,0.33,1210000,"[4,4,4,2,4,4,4,4,4,22,22,4]",2026-02-16,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview",informational,People also ask
blade designs for knives,1,1,90,12,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,3,0.01,0.00,0.54,27900000,"[33,52,33,66,33,33,52,23,33,42,42,42]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Image pack
blade designs for knives,1,1,90,12,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,3,0.01,0.00,0.54,27900000,"[33,52,33,66,33,33,52,23,33,42,42,42]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Image pack
blade designs for knives,1,1,90,12,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,7,0.03,0.00,0.54,27900000,"[33,52,33,66,33,33,52,23,33,42,42,42]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
rounded knives,1,1,50,9,0.90,https://nobliecustomknives.com/ultimate-guide-to-karambits-self-defense-tactical-use-everyday-carry/,1,0,0.00,0.88,10200000,"[19,12,0,9,0,6,0,0,15,0,15,6]",2026-02-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
